HomeTeam;AwayTeam;DateTime;FTHG;FTAG;HGE;AGE;HPB;APB;HTG;ATG;HCG;ACG;HCF;ACF;HCB;ACB;HFC;AFC;HES;AES;HIP;AIP;HLC;ALC;HDG;ADG;HFT;AFT;HCV;ACV;HCA;ACA;HPT;APT;HPC;APC;HATK;AATK;HATKP;AATKP
Coritiba;Goiás;05.11.2023 18:30;0;1;0.29;1.60;48%;52%;8;22;2;8;5;8;1;6;23;15;5;9;0;1;19;18;7;2;16;22;-;-;3;3;410;424;328;361;108;110;50;39
Cruzeiro;Internacional;05.11.2023 16:00;1;2;0.15;0.23;54%;46%;19;7;5;3;11;4;3;0;9;11;8;1;2;0;28;17;1;4;9;9;-;-;2;1;552;340;469;270;156;65;71;28
Fortaleza;Flamengo;05.11.2023 16:00;0;2;0.76;0.68;50%;50%;19;6;4;4;12;1;3;1;12;12;4;3;5;0;17;15;2;4;9;11;-;-;1;3;527;436;448;370;125;99;58;33
Red Bull Bragantino;Corinthians;05.11.2023 16:00;1;0;1.63;0.49;56%;44%;21;8;6;2;12;5;3;1;12;12;10;6;0;0;18;35;2;5;14;12;-;-;1;2;407;314;328;231;128;92;77;35
Palmeiras;Athletico-PR;04.11.2023 21:30;1;0;1.36;0.38;48%;52%;18;12;6;2;7;8;5;2;18;18;2;2;2;1;20;29;2;5;17;17;-;-;3;4;411;429;325;343;89;119;42;40
América-MG;Atlético-MG;04.11.2023 19:30;1;1;1.51;1.11;43%;57%;12;13;4;6;5;6;3;1;20;10;0;4;0;2;18;20;5;3;11;19;1;1;3;3;365;578;285;503;109;138;36;48
Grêmio;Bahia;04.11.2023 19:30;1;0;0.49;1.02;46%;54%;6;17;3;5;1;8;2;4;11;6;5;4;1;0;19;17;5;2;9;17;-;-;2;4;361;456;271;369;124;114;41;39
São Paulo;Cruzeiro;02.11.2023 20:00;1;0;0.76;0.74;56%;44%;12;15;5;4;5;8;2;3;12;15;3;4;6;1;19;33;4;4;10;12;0;1;1;4;515;439;459;364;128;107;38;22
Goiás;Red Bull Bragantino;02.11.2023 18:00;0;2;1.20;2.61;40%;60%;18;22;4;7;9;10;5;5;18;25;10;7;5;1;19;18;5;4;18;19;-;-;3;3;287;382;195;305;74;108;46;61
Cuiabá;Vasco;02.11.2023 17:00;0;2;0.62;1.65;51%;49%;13;7;3;2;8;4;2;1;12;11;5;1;0;2;23;18;0;3;13;10;-;-;2;1;498;452;418;396;123;88;58;35
