HomeTeam;AwayTeam;DateTime;FTHG;FTAG;HGE;AGE;HPB;APB;HTG;ATG;HCG;ACG;HCF;ACF;HCB;ACB;HFC;AFC;HES;AES;HIP;AIP;HLC;ALC;HDG;ADG;HFT;AFT;HCV;ACV;HCA;ACA;HPT;APT;HPC;APC;HATK;AATK;HATKP;AATKP
Grêmio;Athletico-PR;17.04.2024 19:00;2;0;1.15;0.17;48%;52%;15;5;8;1;5;3;2;1;15;7;8;2;0;1;20;18;1;6;7;13;0;0;1;3;419;442;339;362;95;117;44;45
Red Bull Bragantino;Vasco;17.04.2024 19:00;2;1;1.06;1.77;44%;56%;15;11;5;3;8;7;2;1;18;14;4;6;0;3;23;21;2;3;14;15;0;0;2;1;346;505;260;414;97;101;54;41
Bahia;Fluminense;16.04.2024 21:30;2;1;1.05;0.37;40%;60%;12;8;6;3;5;4;1;1;23;19;4;3;3;2;17;18;2;4;15;23;0;0;4;5;341;533;269;460;89;94;60;35
Vitória;Palmeiras;14.04.2024 18:30;0;1;1.25;0.78;51%;49%;12;14;5;4;6;9;1;1;17;15;3;9;2;3;17;10;3;5;12;15;0;0;3;5;415;337;354;260;91;91;37;42
Cruzeiro;Botafogo;14.04.2024 17:00;3;2;1.64;2.08;54%;46%;16;6;6;3;4;3;6;0;9;8;6;3;2;0;10;15;1;3;12;11;0;1;4;3;416;339;354;269;101;70;55;25
Athletico-PR;Cuiabá;14.04.2024 16:00;4;0;2.36;0.15;58%;42%;17;2;9;1;8;1;0;0;10;16;7;0;2;1;22;10;1;5;16;9;0;0;0;3;607;330;530;281;144;64;68;15
Atlético-GO;Flamengo;14.04.2024 16:00;1;2;1.50;1.13;35%;65%;10;15;4;2;5;9;1;4;12;12;4;4;2;1;20;14;0;3;10;11;2;0;5;3;241;496;174;430;69;99;31;48
Corinthians;Atlético-MG;14.04.2024 16:00;0;0;0.56;0.28;50%;50%;11;8;2;3;7;3;2;2;15;12;3;3;1;2;18;14;3;2;16;15;0;1;8;6;355;387;287;313;71;61;38;26
Vasco;Grêmio;14.04.2024 16:00;2;1;0.64;1.37;48%;52%;13;6;3;2;6;4;4;0;10;19;3;5;1;1;18;20;1;1;19;10;0;0;4;1;441;486;377;420;96;116;52;42
Fluminense;Red Bull Bragantino;13.04.2024 21:00;2;2;1.57;1.31;60%;40%;26;14;9;8;12;5;5;1;17;8;13;6;0;0;23;17;6;7;8;19;0;0;3;4;557;265;479;177;86;72;75;46
São Paulo;Fortaleza;13.04.2024 21:00;1;2;0.51;0.39;64%;36%;12;6;6;2;5;3;1;1;14;12;11;4;2;1;32;19;0;5;10;14;0;0;2;3;722;280;625;203;170;66;67;28
Criciúma;Juventude;13.04.2024 18:30;1;1;0.72;0.58;45%;55%;9;13;3;4;4;6;2;3;17;12;0;4;2;4;16;19;3;2;12;15;0;0;4;6;428;485;344;404;96;113;27;65
Internacional;Bahia;13.04.2024 18:30;2;1;1.66;0.53;54%;46%;16;9;9;4;4;3;3;2;14;26;6;3;3;2;18;21;3;7;21;13;0;0;5;3;525;494;447;413;119;83;49;31
