HomeTeam;AwayTeam;DateTime;FTHG;FTAG;HGE;AGE;HPB;APB;HTG;ATG;HCG;ACG;HCF;ACF;HCB;ACB;HFC;AFC;HES;AES;HIP;AIP;HLC;ALC;HDG;ADG;HFT;AFT;HCV;ACV;HCA;ACA;HPT;APT;HPC;APC;HATK;AATK;HATKP;AATKP
Flamengo;Red Bull Bragantino;01.10.2022 19:00;4;1;-;-;67%;33%;23;5;9;3;7;1;7;1;6;6;10;1;0;1;13;4;2;5;7;6;0;1;1;0;672;328;607;275;150;63;122;15
Goiás;Fortaleza;01.10.2022 19:00;0;1;-;-;54%;46%;12;14;3;4;7;6;2;4;17;14;6;3;3;2;27;22;3;3;11;15;-;-;3;2;421;355;344;265;133;95;56;41
Atlético-MG;Fluminense;01.10.2022 15:00;2;0;-;-;29%;71%;14;5;5;2;6;2;3;1;6;17;10;1;1;3;10;25;2;3;16;4;0;1;2;4;250;626;196;563;56;152;40;58
Ceará;América-MG;01.10.2022 15:00;1;2;-;-;60%;40%;16;11;4;4;8;5;4;2;23;13;5;4;0;1;31;23;2;3;15;23;-;-;3;4;386;260;304;171;125;90;53;35
Internacional;Santos;01.10.2022 15:00;1;0;-;-;47%;53%;9;11;3;2;5;4;1;5;14;10;2;5;3;1;20;16;2;2;7;13;-;-;1;4;452;499;377;432;96;120;44;42
Atlético-MG;Palmeiras;28.09.2022 21:45;0;1;-;-;68%;32%;16;10;3;3;10;4;3;3;22;19;7;9;2;3;16;14;2;3;11;13;-;-;3;3;517;245;434;160;121;63;78;36
Goiás;Botafogo;28.09.2022 21:45;0;1;-;-;45%;55%;6;17;1;6;2;9;3;2;19;25;6;11;2;1;16;31;5;1;16;14;-;-;4;4;327;396;244;316;82;111;46;51
Internacional;Red Bull Bragantino;28.09.2022 21:45;0;0;-;-;59%;41%;12;12;6;5;5;4;1;3;21;22;6;3;2;0;28;19;5;6;14;15;-;-;0;2;542;381;450;302;134;103;56;45
Cuiabá;América-MG;28.09.2022 21:00;2;1;-;-;42%;58%;11;18;3;8;5;8;3;2;14;13;2;4;2;1;11;24;7;1;13;14;-;-;1;6;310;423;223;337;59;70;35;40
Corinthians;Atlético-GO;28.09.2022 19:00;2;1;-;-;65%;35%;19;11;8;5;8;4;3;2;18;7;5;4;1;0;21;18;4;6;5;14;-;-;0;3;610;324;531;258;126;96;62;40
Coritiba;Ceará;28.09.2022 19:00;1;0;-;-;32%;68%;14;12;4;3;7;5;3;4;11;15;7;3;3;3;15;24;3;3;12;9;-;-;2;4;257;552;195;489;64;117;40;55
Fluminense;Juventude;28.09.2022 19:00;4;0;-;-;62%;38%;21;10;6;3;9;2;6;5;16;7;5;5;2;3;21;10;3;2;5;9;-;-;1;1;657;409;598;341;140;63;63;28
Fortaleza;Flamengo;28.09.2022 19:00;3;2;-;-;28%;72%;20;7;8;3;6;3;6;1;22;25;7;3;3;0;10;16;1;5;15;15;-;-;2;5;241;660;186;584;85;133;34;43
Santos;Athletico-PR;27.09.2022 21:00;2;0;-;-;48%;52%;11;14;4;3;5;7;2;4;32;28;5;4;1;2;21;17;3;2;19;21;-;-;3;3;358;389;270;314;104;120;27;35
São Paulo;Avaí;25.09.2022 20:00;4;0;-;-;61%;39%;17;7;6;2;7;4;4;1;9;14;9;4;1;1;22;25;2;2;13;8;-;-;2;4;565;363;505;299;115;82;49;40
